,id,name,producer,nation,local1,varieties1,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
209,137455,Fluer de Bouard,La Fleur de Bouard,France,Bordeaux,Merlot,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2002,750
218,137471,Chateau Bellegrave,Chateau Bellegrave,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,39000,2005,750
221,137474,"Andre Quancard Andre, Saint-Emilion",Andre Quancard Andre,France,Bordeaux,Merlot,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2012,750
228,137482,"Chateau de Mercey, Mercurey 1er Cru En Saznay",Chateau de Mercey,France,Bourgogne,Pinot Noir,Red,Table,,,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2016,750
229,137483,Chateau de Rully,Chateau de Rully,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2013,750
230,137484,"Antonin Rodet, Aloxe Corton",Antonin Rodet,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2014,750
232,137486,"Antonin Rodet, Pommard",Antonin Rodet,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2013,750
234,137488,"Antonin Rodet, Chambolle Musigny",Antonin Rodet,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2010,750
235,137489,"Antonin Rodet, Gevrey Chambertin",Antonin Rodet,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2017,750
236,137490,"Antonin Rodet, Nuits St Georges",Antonin Rodet,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2010,750
237,137491,"Antonin Rodet, Cotes du Rhone Rouge",Antonin Rodet,France,Rhone,Grenache,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
240,137494,"Antonin Rodet, Bourgogne Pinot Noir",Antonin Rodet,France,Bourgogne,Pinot Noir,Red,Table,12.5,16~18,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2016,750
243,137497,"B.R.Cohn, Sonoma Valley Merlot",BR Cohn Winery,USA,California,Merlot,Red,Table,14.3,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2013,750
245,137501,"Balbi Soprani, Nebbiolo d'Alba",Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,Nebbiolo,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,38000,2004,750
247,137503,"Balbi Soprani, Barbera d'Asti  La Baudria",Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,Barbera,Red,Table,14,10~12,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2012,750
249,137505,"Balbi Soprani, Barbaresco",Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,Nebbiolo,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,99000,2015,750
250,137506,"Balbi Soprani, Barolo",Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,Nebbiolo,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,132000,2014,750
252,137512,"Brotte, Chateauneuf du Pape 'La Fiole du Pape'",Brotte,France,Rhone,Grenache,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,0,750
255,137537,Chateau Ciceron,Chateau Ciceron,France,Southern France,Syrah & Shiraz,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY2,TANNIN4,0,2015,750
260,137578,"Chateau de Serame, Merlot",Chateau de Serame,France,,Merlot,Red,Table,12,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750
264,137591,"Citra, Merlot",Citra,Italy,,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2017,750
266,137593,"Citra, Sangiovese",Citra,Italy,Abruzzo,Sangiovese,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,20000,2017,750
277,137606,"Agustinos, Grand Reserva Malbec",Agustinos,Chile,Southern Region,Malbec,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,45000,2015,750
279,137608,"Agustinos, Winemaker Selection Pinot Noir",Agustinos,Chile,Southern Region,Pinot Noir,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,25000,2015,750
280,137609,Casa Porta Limited Reserve Pinot Noir,Porta Winery,Chile,Southern Region,Pinot Noir,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY2,TANNIN2,28000,2015,750
281,137610,"Porta, Pinot Noir Grand Reserve",Porta Winery,Chile,Southern Region,Pinot Noir,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,62000,2015,750
287,137617,"Agustinos, Carmenere",Agustinos,Chile,Maipo Valley,Carmenere,Red,Table,13.5,16~18,SWEET1,ACIDITY2,BODY2,TANNIN2,17000,2009,750
288,137618,Casa Porta Collection Reserve Merlot,Porta Winery,Chile,Maipo Valley,Merlot,Red,Table,13.5,16~19,SWEET1,ACIDITY3,BODY3,TANNIN3,25000,2009,750
290,137620,"Porta, Carmenere Reserve",Porta Winery,Chile,Maipo Valley,Carmenere,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2010,750
