날짜,스트레스,날짜,퇴사
2025-05-29,44.64285,2025-05-29,63.39285
2025-05-30,62.5,2025-05-30,66.96428
2025-05-31,40.17857,2025-05-31,32.14285
2025-06-01,39.28571,2025-06-01,26.78571
2025-06-02,43.75,2025-06-02,67.85714
2025-06-03,37.5,2025-06-03,24.10714
2025-06-04,63.39285,2025-06-04,51.78571
2025-06-05,63.39285,2025-06-05,50.0
2025-06-06,31.25,2025-06-06,25.0
2025-06-07,32.14285,2025-06-07,28.57142
2025-06-08,36.60714,2025-06-08,33.03571
2025-06-09,46.42857,2025-06-09,67.85714
2025-06-10,41.96428,2025-06-10,60.71428
2025-06-11,63.39285,2025-06-11,68.75
2025-06-12,71.42857,2025-06-12,57.14285
2025-06-13,56.25,2025-06-13,41.96428
2025-06-14,40.17857,2025-06-14,29.46428
2025-06-15,42.85714,2025-06-15,32.14285
2025-06-16,46.42857,2025-06-16,87.5
2025-06-17,41.07142,2025-06-17,53.57142
2025-06-18,58.03571,2025-06-18,50.89285
2025-06-19,47.32142,2025-06-19,53.57142
2025-06-20,52.67857,2025-06-20,54.46428
2025-06-21,38.39285,2025-06-21,33.03571
2025-06-22,32.14285,2025-06-22,27.67857
2025-06-23,69.64285,2025-06-23,46.42857
2025-06-24,63.39285,2025-06-24,59.82142
2025-06-25,63.39285,2025-06-25,74.10714
2025-06-26,57.14285,2025-06-26,64.28571
2025-06-27,46.42857,2025-06-27,63.39285
2025-06-28,33.92857,2025-06-28,38.39285
2025-06-29,36.60714,2025-06-29,22.32142
2025-06-30,41.07142,2025-06-30,84.82142
2025-07-01,66.07142,2025-07-01,62.5
2025-07-02,54.46428,2025-07-02,50.89285
2025-07-03,50.0,2025-07-03,53.57142
2025-07-04,50.89285,2025-07-04,50.89285
2025-07-05,37.5,2025-07-05,34.82142
2025-07-06,39.28571,2025-07-06,18.75
2025-07-07,62.5,2025-07-07,60.71428
2025-07-08,44.64285,2025-07-08,58.92857
2025-07-09,47.32142,2025-07-09,52.67857
2025-07-10,50.89285,2025-07-10,52.67857
2025-07-11,43.75,2025-07-11,52.67857
2025-07-12,35.71428,2025-07-12,21.42857
2025-07-13,39.28571,2025-07-13,19.64285
2025-07-14,47.32142,2025-07-14,68.75
